Source,Target,Type,Weight
0,1,Undirected,0.0029433974041366074
0,2,Undirected,0.0
0,3,Undirected,0.0
0,4,Undirected,0.0005492069590646096
0,5,Undirected,0.0
0,6,Undirected,0.0
0,7,Undirected,0.0
0,8,Undirected,0.0026470764174837827
0,9,Undirected,0.0014627943879585439
1,2,Undirected,0.0003781046730896121
1,3,Undirected,0.0
1,4,Undirected,0.0007806417874971368
1,5,Undirected,0.0
1,6,Undirected,0.0008010243724516599
1,7,Undirected,0.0
1,8,Undirected,0.0015580828285490051
1,9,Undirected,0.0022342233990634147
2,3,Undirected,0.0
2,4,Undirected,0.0
2,5,Undirected,0.0
2,6,Undirected,0.0
2,7,Undirected,0.004887414949065344
2,8,Undirected,0.0
2,9,Undirected,0.005646328191661942
3,4,Undirected,0.0
3,5,Undirected,0.004817765889493694
3,6,Undirected,0.0
3,7,Undirected,0.0
3,8,Undirected,0.003886654611398835
3,9,Undirected,0.004467849290618598
4,5,Undirected,0.0
4,6,Undirected,0.0
4,7,Undirected,0.0002054853938478806
4,8,Undirected,0.002325410213224769
4,9,Undirected,0.0
5,6,Undirected,0.004349948820033186
5,7,Undirected,0.000808673968498337
5,8,Undirected,0.0
5,9,Undirected,0.0
6,7,Undirected,0.0
6,8,Undirected,0.000129755032594126
6,9,Undirected,0.0
7,8,Undirected,0.0012147546266858085
7,9,Undirected,0.0
8,9,Undirected,0.0
